open,double_blind,single_blind,masking
Yes,No,No,0
No,Yes,No,>2
Yes,No,No,0
,,,0
Yes,No,No,0
No,Yes,No,2
No,No,No,0
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,No,No,0
No,No,No,0
No,No,No,2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,Yes,No,2
No,Yes,No,2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,No,No,>2
No,No,No,>2
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,>2
Yes,No,No,0
No,No,No,0
,,,0
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
Yes,No,No,0
No,Yes,No,>2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,No,No,0
Yes,No,No,0
No,Yes,No,>2
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,>2
Yes,No,No,0
Yes,No,No,0
No,Yes,No,>2
No,No,Yes,1
Yes,No,No,0
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
Yes,No,No,0
No,Yes,No,>2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,>2
Yes,No,No,0
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,2
No,Yes,No,2
No,Yes,No,>2
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,2
Yes,No,No,0
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
,,,0
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,2
,,,0
No,Yes,No,>2
No,Yes,No,>2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,No,No,0
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,>2
Yes,No,No,0
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,2
No,Yes,No,2
No,Yes,No,2
No,Yes,No,2
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
Yes,No,No,0
No,Yes,No,>2
Yes,No,No,0
Yes,No,No,0
No,Yes,No,2
No,Yes,No,2
No,Yes,No,2
No,Yes,No,2
No,Yes,No,2
No,Yes,No,2
No,Yes,No,2
No,Yes,No,2
No,Yes,No,2
No,Yes,No,2
No,Yes,No,2
No,Yes,No,2
No,Yes,No,2
No,No,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
Yes,No,No,0
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,2
Yes,,,0
Yes,No,No,0
No,No,No,>2
No,Yes,No,>2
No,Yes,No,2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,2
No,Yes,No,2
No,Yes,No,2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,>2
No,Yes,Yes,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
Yes,No,No,0
No,Yes,No,>2
No,No,No,0
No,No,No,0
No,No,No,0
Yes,No,No,0
No,Yes,No,2
Yes,No,No,0
Yes,No,No,0
No,Yes,No,2
Yes,No,No,0
No,Yes,No,>2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,Yes,No,2
No,Yes,No,2
No,Yes,No,2
Yes,No,No,0
No,Yes,No,>2
Yes,No,No,>2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,No,Yes,1
No,Yes,No,>2
Yes,No,No,0
No,Yes,No,2
No,Yes,No,>2
No,Yes,No,>2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,Yes,No,2
No,Yes,No,2
No,No,No,0
Yes,No,No,1
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
Yes,No,No,0
No,Yes,No,2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,2
No,Yes,No,2
No,Yes,No,>2
Yes,No,No,0
,Yes,,>2
No,Yes,No,>2
No,Yes,No,>2
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
Yes,No,No,0
Yes,No,No,0
No,Yes,No,2
No,Yes,No,2
Yes,No,No,1
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,>2
No,No,No,0
Yes,No,No,0
Yes,No,No,0
No,Yes,No,2
No,Yes,No,2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,>2
Yes,No,No,0
Yes,No,No,0
No,Yes,No,>2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,Yes,No,2
No,Yes,No,>2
No,Yes,No,>2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,No,No,
No,Yes,No,>2
,,,0
Yes,No,No,2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,2
Yes,No,No,0
Yes,No,No,0
,,,0
No,No,No,0
No,Yes,No,>2
No,Yes,No,>2
No,No,No,0
,,,0
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,2
No,Yes,No,2
No,Yes,No,2
Yes,No,No,0
,,,0
No,Yes,No,2
No,Yes,No,>2
No,No,No,0
No,Yes,No,>2
No,Yes,No,2
No,Yes,No,2
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,>2
Yes,No,No,0
No,No,No,>2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,Yes,No,>2
,,,0
Yes,,,0
Yes,,,0
Yes,No,No,0
No,No,No,0
Yes,No,No,0
No,Yes,No,>2
Yes,No,No,0
No,Yes,No,2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
Yes,No,No,0
No,Yes,No,2
No,Yes,No,2
Yes,No,No,0
No,Yes,No,>2
Yes,No,No,0
Yes,No,No,0
No,No,No,
No,Yes,No,>2
No,Yes,No,2
No,Yes,No,>2
,,,0
No,Yes,No,2
No,Yes,No,2
No,Yes,No,>2
No,Yes,No,2
No,Yes,No,2
No,Yes,No,2
No,Yes,No,>2
No,Yes,No,2
Yes,No,No,0
No,Yes,No,>2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
Yes,No,No,
No,Yes,No,>2
No,Yes,No,2
No,Yes,No,2
No,Yes,No,>2
No,Yes,No,>2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,Yes,No,2
No,Yes,No,2
No,Yes,No,2
Yes,No,No,0
No,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,Yes,No,>2
Yes,No,No,0
No,No,No,>2
No,Yes,No,2
No,Yes,No,2
No,Yes,No,2
No,Yes,No,>2
Yes,No,No,0
No,No,No,>2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,Yes,No,2
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,Yes,No,2
No,Yes,No,>2
No,No,No,0
Yes,No,No,0
Yes,No,No,0
No,Yes,No,>2
Yes,No,No,0
No,Yes,No,>2
Yes,No,No,0
Yes,No,No,0
No,Yes,No,2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,2
No,Yes,No,>2
No,Yes,No,>2
Yes,No,No,0
No,Yes,No,2
No,Yes,No,>2
No,Yes,No,2
No,Yes,No,>2
Yes,No,No,0
Yes,No,No,0
No,Yes,No,2
No,No,No,0
No,Yes,No,2
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,2
Yes,No,No,0
No,Yes,No,2
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,>2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,Yes,No,>2
Yes,No,No,0
Yes,No,No,0
No,No,No,0
No,Yes,No,>2
No,Yes,No,0
No,Yes,No,>2
Yes,No,No,1
Yes,No,No,0
No,No,No,0
No,Yes,No,2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,,,0
Yes,No,No,0
Yes,No,No,0
No,Yes,No,2
No,Yes,No,2
Yes,No,No,1
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,Yes,No,>2
Yes,No,No,0
No,Yes,No,>2
Yes,No,No,0
No,Yes,No,>2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,Yes,No,2
,,,0
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
Yes,No,No,0
No,Yes,No,2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,Yes,No,2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,No,No,0
Yes,No,No,0
No,Yes,No,>2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,No,No,>2
Yes,No,No,0
No,No,No,>2
No,Yes,No,>2
Yes,No,No,0
No,Yes,No,2
Yes,No,No,
No,Yes,No,>2
No,Yes,No,>2
No,No,No,0
No,Yes,No,>2
No,Yes,No,>2
,,,0
,,,0
,,,0
No,Yes,No,>2
Yes,No,No,0
No,Yes,No,2
Yes,No,No,0
No,Yes,No,2
No,No,No,
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,Yes,No,2
No,Yes,No,2
Yes,No,No,0
No,Yes,No,2
No,Yes,No,2
No,Yes,No,2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,Yes,No,2
No,Yes,No,2
Yes,No,No,0
No,Yes,No,>2
No,No,No,0
No,No,No,0
No,No,No,0
No,Yes,No,>2
Yes,No,No,0
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,2
Yes,No,No,0
Yes,No,No,0
No,No,No,0
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,Yes,No,2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,Yes,No,2
No,Yes,No,2
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,>2
Yes,No,No,0
No,No,Yes,0
No,Yes,No,>2
Yes,No,No,0
Yes,No,No,0
No,Yes,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,>2
Yes,No,No,0
No,Yes,No,>2
No,No,No,
No,No,No,
No,No,No,
No,No,No,
No,No,No,
No,Yes,No,>2
Yes,No,No,0
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,2
No,Yes,No,2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,No,No,0
No,No,No,0
Yes,,,0
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,2
No,Yes,No,2
No,Yes,No,2
No,Yes,No,2
No,Yes,No,2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,Yes,No,2
No,Yes,No,2
Yes,No,No,0
Yes,No,No,0
No,Yes,No,2
No,Yes,No,2
No,Yes,No,>2
No,Yes,No,2
No,Yes,No,2
No,Yes,No,2
No,Yes,No,2
No,Yes,No,2
Yes,Yes,No,>2
Yes,No,No,>2
Yes,No,No,>2
No,Yes,No,2
No,No,No,1
No,Yes,No,>2
No,No,No,0
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,2
No,Yes,No,>2
No,Yes,No,>2
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,2
No,Yes,No,2
No,Yes,No,2
No,Yes,No,2
No,No,No,0
No,Yes,No,>2
No,Yes,No,2
No,No,No,0
Yes,No,No,0
No,No,No,0
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,Yes,No,2
No,Yes,No,2
No,Yes,No,2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,No,No,0
,,,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,Yes,No,2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,2
No,Yes,No,2
No,Yes,No,2
No,Yes,No,2
No,Yes,No,>2
No,Yes,No,>2
Yes,No,No,0
No,Yes,No,2
No,Yes,No,2
,,,0
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,>2
No,No,No,0
Yes,No,No,0
Yes,No,No,0
No,Yes,No,2
No,Yes,No,2
Yes,No,No,0
No,Yes,No,2
No,Yes,No,>2
Yes,No,No,0
No,Yes,No,>2
Yes,No,No,0
Yes,No,No,0
No,Yes,No,2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,Yes,No,2
No,Yes,No,0
No,Yes,No,>2
No,Yes,No,2
No,Yes,No,2
No,Yes,No,>2
No,Yes,No,>2
Yes,No,No,0
No,Yes,No,>2
Yes,No,No,
Yes,No,No,0
Yes,No,No,
Yes,No,No,0
Yes,No,No,
Yes,No,No,0
No,No,No,0
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,2
No,Yes,No,2
Yes,No,No,0
Yes,No,No,0
No,Yes,No,0
Yes,No,No,0
No,Yes,No,0
No,No,Yes,1
No,Yes,No,2
No,Yes,No,2
No,Yes,No,2
Yes,No,No,
Yes,No,No,0
Yes,No,No,0
No,Yes,No,>2
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,2
No,Yes,No,2
No,Yes,No,2
No,Yes,No,2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,2
Yes,No,No,0
No,Yes,No,2
No,Yes,No,2
No,Yes,No,2
No,Yes,No,2
No,Yes,No,2
No,Yes,No,2
Yes,No,No,2
Yes,No,No,0
,,,0
Yes,No,No,0
No,Yes,No,2
No,Yes,No,2
,,,0
,,,0
,,,0
,,,0
No,Yes,No,>2
No,Yes,No,2
No,Yes,No,2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,Yes,No,>2
Yes,No,No,0
Yes,No,No,0
No,Yes,No,2
No,Yes,No,2
No,Yes,No,2
Yes,No,No,0
No,Yes,No,2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,No,No,
Yes,No,No,0
Yes,No,No,0
No,Yes,No,>2
Yes,No,No,0
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
Yes,No,No,0
Yes,No,No,0
No,Yes,No,2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
Yes,No,No,0
No,No,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,No,Yes,>2
No,No,Yes,>2
No,No,No,2
No,No,No,2
No,Yes,No,>2
No,Yes,No,2
No,Yes,No,>2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,Yes,No,2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,Yes,No,2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,Yes,No,2
No,Yes,No,2
No,Yes,No,2
No,Yes,No,2
No,Yes,No,2
No,No,No,0
No,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,>2
Yes,No,No,0
No,Yes,No,>2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
Yes,No,No,0
No,Yes,No,>2
Yes,No,No,0
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,2
No,Yes,No,2
No,Yes,No,2
No,Yes,No,2
No,Yes,No,>2
Yes,No,No,0
Yes,No,No,0
No,Yes,No,2
No,Yes,No,2
No,Yes,No,2
Yes,No,No,0
No,No,No,0
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,2
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,2
No,Yes,No,2
No,Yes,No,2
No,Yes,No,2
No,Yes,No,2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,2
Yes,No,No,0
Yes,No,No,0
No,Yes,No,2
No,Yes,No,2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,2
No,Yes,No,2
No,Yes,No,2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
Yes,No,No,0
Yes,No,No,0
No,Yes,No,2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
Yes,No,No,0
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
Yes,Yes,No,>2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,No,No,0
No,Yes,No,2
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,>2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,2
No,Yes,No,>2
No,Yes,No,2
No,Yes,No,2
No,Yes,No,2
No,Yes,No,2
No,Yes,No,2
No,Yes,No,>2
No,Yes,No,>2
Yes,No,No,0
Yes,No,No,0
No,Yes,No,2
No,Yes,No,2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,Yes,No,>2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,1
No,Yes,No,>2
No,Yes,No,>2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
,,,0
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,2
No,Yes,No,>2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,Yes,No,>2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,No,No,0
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
,Yes,,>2
No,Yes,No,>2
Yes,No,No,1
Yes,No,No,1
No,Yes,No,2
No,Yes,No,0
Yes,No,No,0
Yes,No,No,0
,,,0
Yes,No,No,0
No,Yes,No,2
No,Yes,No,2
Yes,No,No,0
Yes,No,No,0
No,Yes,No,2
Yes,No,No,0
Yes,No,No,>2
Yes,No,No,0
No,Yes,No,>2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,Yes,No,>2
Yes,Yes,No,2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
Yes,No,No,0
No,Yes,No,2
No,Yes,No,2
No,Yes,No,>2
No,Yes,No,2
No,Yes,No,2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,No,No,>2
Yes,No,No,0
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,>2
No,No,No,0
No,Yes,No,2
No,No,No,0
No,Yes,No,>2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,Yes,No,2
No,Yes,No,2
No,Yes,No,2
,,,0
,,,0
No,Yes,No,>2
No,No,No,0
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,>2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,Yes,No,2
Yes,Yes,No,2
Yes,Yes,No,2
No,Yes,No,>2
No,Yes,No,2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,2
No,Yes,No,2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,2
No,Yes,No,2
No,Yes,No,2
No,Yes,No,2
No,Yes,No,>2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,Yes,No,>2
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
,Yes,,>2
Yes,No,No,0
,,,0
No,Yes,No,>2
Yes,No,No,0
No,Yes,No,>2
No,No,No,0
No,No,No,0
No,Yes,No,2
Yes,No,No,0
No,Yes,No,>2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,Yes,No,>2
Yes,No,No,0
,,,0
Yes,No,No,0
No,Yes,No,>2
No,No,No,2
No,Yes,No,>2
No,No,No,0
No,No,No,0
Yes,No,No,0
No,Yes,No,0
No,Yes,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,Yes,No,>2
Yes,No,No,0
No,Yes,No,>2
,,,0
,,,0
,Yes,,2
No,Yes,No,2
No,Yes,No,>2
Yes,No,No,0
No,No,No,0
No,Yes,No,>2
No,Yes,No,>2
No,No,Yes,2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,Yes,No,2
No,Yes,No,2
No,Yes,No,2
No,No,No,0
No,Yes,No,>2
No,Yes,No,>2
,,,0
No,No,No,0
,,,0
Yes,No,No,
Yes,No,No,0
,,,0
No,Yes,No,>2
No,Yes,No,2
Yes,No,No,0
No,Yes,No,
Yes,No,No,0
No,Yes,No,2
No,Yes,No,2
No,Yes,No,>2
No,Yes,No,>2
No,No,No,0
No,No,No,0
No,Yes,No,>2
No,Yes,No,2
No,Yes,No,>2
No,Yes,No,2
No,Yes,No,>2
Yes,No,No,0
No,No,Yes,1
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,2
No,Yes,No,>2
Yes,No,No,0
Yes,No,No,0
Yes,No,No,0
No,No,Yes,0
No,Yes,No,2
No,No,No,2
No,Yes,No,2
No,Yes,No,>2
Yes,Yes,No,0
No,Yes,No,2
No,No,No,0
,,,0
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,2
,,,0
Yes,No,No,0
No,No,No,1
No,No,Yes,2
No,Yes,No,>2
No,Yes,No,>2
Yes,No,No,0
No,Yes,No,2
Yes,No,No,0
No,No,No,0
Yes,No,No,0
No,No,No,0
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
Yes,No,No,0
Yes,No,No,
No,Yes,No,>2
No,Yes,No,>2
,,,0
No,Yes,No,>2
No,Yes,No,>2
Yes,No,No,0
No,Yes,No,>2
No,Yes,No,>2
Yes,No,No,0
,,,0
No,Yes,No,>2
Yes,No,No,0
No,Yes,No,>2
No,No,Yes,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
No,Yes,No,>2
,,,0
Yes,No,No,0
Yes,No,No,0
No,Yes,No,>2
